country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",14-12-2025 23:00,25.599486,85.113666,SO2,5,8,7
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",14-12-2025 23:00,25.599486,85.113666,CO,19,109,81
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-12-2025 23:00,25.596727,85.085624,NH3,5,5,5
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-12-2025 23:00,25.596727,85.085624,SO2,3,4,4
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",14-12-2025 23:00,25.366336,87.117468,NO2,5,7,6
India,Delhi,Delhi,"Alipur, Delhi - DPCC",14-12-2025 23:00,28.815329,77.15301,SO2,2,7,4
India,Delhi,Delhi,"Alipur, Delhi - DPCC",14-12-2025 23:00,28.815329,77.15301,CO,88,119,102
India,Delhi,Delhi,"Alipur, Delhi - DPCC",14-12-2025 23:00,28.815329,77.15301,OZONE,6,35,17
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-12-2025 23:00,28.647622,77.315809,PM10,413,500,479
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",14-12-2025 23:00,28.4706914,77.1099364,PM2.5,327,468,405
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",14-12-2025 23:00,28.4706914,77.1099364,PM10,363,500,439
India,Delhi,Delhi,"Bawana, Delhi - DPCC",14-12-2025 23:00,28.7762,77.051074,PM2.5,447,500,491
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",14-12-2025 23:00,26.2271665,84.3570427,SO2,3,3,3
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",14-12-2025 23:00,26.2271665,84.3570427,CO,27,30,30
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",14-12-2025 23:00,30.735567,76.775714,CO,32,125,98
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",14-12-2025 23:00,30.719859,76.738637,NH3,6,10,8
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",14-12-2025 23:00,21.194815,81.31477,PM2.5,14,40,26
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",14-12-2025 23:00,26.1403345,85.3650192,SO2,9,22,13
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-12-2025 23:00,26.1209,85.3647,NO2,12,15,14
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-12-2025 23:00,25.586562,85.043586,NO2,36,127,63
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",14-12-2025 23:00,25.610369,85.132568,SO2,1,23,10
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",14-12-2025 23:00,21.185571,81.343175,OZONE,3,14,9
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",14-12-2025 23:00,22.08815,82.13737,SO2,6,14,8
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",14-12-2025 23:00,22.118125,83.140608,NH3,5,5,5
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",14-12-2025 23:00,22.118125,83.140608,CO,30,65,46
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",14-12-2025 23:00,22.368195,82.746431,SO2,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",14-12-2025 23:00,22.12665,83.483212,PM2.5,26,60,43
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",14-12-2025 23:00,22.12665,83.483212,PM10,39,83,57
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",14-12-2025 23:00,22.1910172,83.5197009,CO,1,30,26
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",14-12-2025 23:00,21.237755,81.705301,PM10,52,109,83
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",14-12-2025 23:00,21.371751,81.664929,PM10,NA,NA,NA
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",14-12-2025 23:00,28.7256504,77.2011573,PM10,349,500,465
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-12-2025 23:00,28.498571,77.26484,SO2,10,19,15
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-12-2025 23:00,28.498571,77.26484,CO,2,60,30
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",14-12-2025 23:00,28.498571,77.26484,OZONE,8,312,117
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",14-12-2025 23:00,28.5710274,77.0719006,PM10,342,493,419
